State,Action_0,Action_1,Action_2,Action_3,Action_4
0,-0.2639815798551557,-0.18247875720237494,0.061788200192715914,0.9370390755169806,0.09417020693736777
1,58.40537094592695,50.84395448446196,44.38147012800346,41.85064385551928,47.37135290195732
2,55.991305103947404,56.270200640009975,56.33248724383073,57.643653225417765,58.96380087631899
3,-128.6329919451018,26.428331336524653,39.389769747268076,38.888505235071065,48.68118955669229
4,-6.861799368005417,-188.22862170825456,-6.750722176353582,-6.8099448816030925,-3.3248490187836435
5,-0.373109286450215,-0.8471455375648278,0.7032000464672485,-0.9900275144429169,0.16007784556574034
6,66.02452282013488,66.64468584686612,65.43244523414243,65.32430367765129,65.41711959003533
7,69.33258981333317,68.04676238989146,69.84100824176788,69.22186265987341,69.83258034782126
8,63.17489648326934,68.66993456192326,68.24765978634194,68.8252590251301,68.74584041922407
9,51.5974487210617,46.50937201812443,49.00534538823468,51.652622178999984,51.24145681461603
10,25.70829459872603,-177.52256371926697,-180.08529502916497,26.77457843709384,26.03710285140742
11,-174.12926932158618,31.8640925055728,31.984796026478456,32.11458903462947,32.098661843813126
12,41.32822868700609,41.85955445904655,40.55362333608452,40.130598044831565,45.69278859851344
13,59.88331451414539,61.80719038512825,61.950040897924566,61.63772845960638,60.49652595350426
14,11.39396039810775,-0.32544454915691934,-0.3970999675272133,0.5260047741423999,-0.4785976964247347
