Archivo,Algoritmo,Semilla,Costo,Costo Optimo,Evaluaciones
DataSets/tai25b.dat,Greedy,N/A,913427707,344355646,1
DataSets/tai25b.dat,Busqueda Local del Primer Vecino,769123,402914653,344355646,4762
DataSets/tai25b.dat,Busqueda GRASP (BL),769123,348466729,344355646,37217
DataSets/tai25b.dat,Busqueda GRASP (Puro),769123,779942000,344355646,5
DataSets/tai25b.dat,Busqueda ILS,769123,394964292,344355646,25898
DataSets/tai25b.dat,Busqueda VNS,769123,385349045,344355646,18901
DataSets/tai25b.dat,Busqueda Local del Primer Vecino,8435,382736549,344355646,4979
DataSets/tai25b.dat,Busqueda GRASP (BL),769123,344594778,344355646,33958
DataSets/tai25b.dat,Busqueda GRASP (Puro),769123,730976392,344355646,5
DataSets/tai25b.dat,Busqueda ILS,769123,376641262,344355646,19202
DataSets/tai25b.dat,Busqueda VNS,8435,380034200,344355646,22196
DataSets/tai25b.dat,Busqueda Local del Primer Vecino,423543,367030385,344355646,5876
DataSets/tai25b.dat,Busqueda GRASP (BL),769123,348409095,344355646,37244
DataSets/tai25b.dat,Busqueda GRASP (Puro),769123,720458127,344355646,5
DataSets/tai25b.dat,Busqueda ILS,769123,363667045,344355646,22718
DataSets/tai25b.dat,Busqueda VNS,423543,365884856,344355646,18464
DataSets/tai25b.dat,Busqueda Local del Primer Vecino,656343,368379802,344355646,7706
DataSets/tai25b.dat,Busqueda GRASP (BL),769123,350871189,344355646,31645
DataSets/tai25b.dat,Busqueda GRASP (Puro),769123,731424868,344355646,5
DataSets/tai25b.dat,Busqueda ILS,769123,344904410,344355646,28628
DataSets/tai25b.dat,Busqueda VNS,656343,347174156,344355646,21561
DataSets/tai25b.dat,Busqueda Local del Primer Vecino,80987,435271658,344355646,5671
DataSets/tai25b.dat,Busqueda GRASP (BL),769123,345626201,344355646,37365
DataSets/tai25b.dat,Busqueda GRASP (Puro),769123,681630865,344355646,5
DataSets/tai25b.dat,Busqueda ILS,769123,348599358,344355646,31956
DataSets/tai25b.dat,Busqueda VNS,80987,368292789,344355646,18580
DataSets/sko90b.dat,Greedy,N/A,136080,115534,1
DataSets/sko90b.dat,Busqueda Local del Primer Vecino,769123,117108,115534,566027
DataSets/sko90b.dat,Busqueda GRASP (BL),769123,116764,115534,3256778
DataSets/sko90b.dat,Busqueda GRASP (Puro),769123,135846,115534,5
DataSets/sko90b.dat,Busqueda ILS,769123,116652,115534,3341913
DataSets/sko90b.dat,Busqueda VNS,769123,116170,115534,2303192
DataSets/sko90b.dat,Busqueda Local del Primer Vecino,8435,117190,115534,789150
DataSets/sko90b.dat,Busqueda GRASP (BL),769123,117050,115534,3202668
DataSets/sko90b.dat,Busqueda GRASP (Puro),769123,136134,115534,5
DataSets/sko90b.dat,Busqueda ILS,769123,116480,115534,3188543
DataSets/sko90b.dat,Busqueda VNS,8435,116640,115534,1780307
DataSets/sko90b.dat,Busqueda Local del Primer Vecino,423543,117030,115534,659400
DataSets/sko90b.dat,Busqueda GRASP (BL),769123,117140,115534,3215528
DataSets/sko90b.dat,Busqueda GRASP (Puro),769123,135842,115534,5
DataSets/sko90b.dat,Busqueda ILS,769123,116124,115534,2644982
DataSets/sko90b.dat,Busqueda VNS,423543,116228,115534,2503137
DataSets/sko90b.dat,Busqueda Local del Primer Vecino,656343,118296,115534,582754
DataSets/sko90b.dat,Busqueda GRASP (BL),769123,116654,115534,3307783
DataSets/sko90b.dat,Busqueda GRASP (Puro),769123,135082,115534,5
DataSets/sko90b.dat,Busqueda ILS,769123,116702,115534,2632424
DataSets/sko90b.dat,Busqueda VNS,656343,117008,115534,2430388
DataSets/sko90b.dat,Busqueda Local del Primer Vecino,80987,117038,115534,754970
DataSets/sko90b.dat,Busqueda GRASP (BL),769123,117512,115534,3236275
DataSets/sko90b.dat,Busqueda GRASP (Puro),769123,135584,115534,5
DataSets/sko90b.dat,Busqueda ILS,769123,116514,115534,3219923
DataSets/sko90b.dat,Busqueda VNS,80987,116356,115534,2370082
DataSets/tai150b.dat,Greedy,N/A,653315921,498896643,1
DataSets/tai150b.dat,Busqueda Local del Primer Vecino,769123,509412789,498896643,4465263
DataSets/tai150b.dat,Busqueda GRASP (BL),769123,508342309,498896643,23272476
DataSets/tai150b.dat,Busqueda GRASP (Puro),769123,645333882,498896643,5
DataSets/tai150b.dat,Busqueda ILS,769123,502716427,498896643,22950416
DataSets/tai150b.dat,Busqueda VNS,769123,509618860,498896643,17537008
DataSets/tai150b.dat,Busqueda Local del Primer Vecino,8435,510018713,498896643,6482436
DataSets/tai150b.dat,Busqueda GRASP (BL),769123,510150395,498896643,25602774
DataSets/tai150b.dat,Busqueda GRASP (Puro),769123,636181089,498896643,5
DataSets/tai150b.dat,Busqueda ILS,769123,503765778,498896643,24784597
DataSets/tai150b.dat,Busqueda VNS,8435,512658799,498896643,13538759
DataSets/tai150b.dat,Busqueda Local del Primer Vecino,423543,509920849,498896643,6304166
DataSets/tai150b.dat,Busqueda GRASP (BL),769123,508182871,498896643,24773350
DataSets/tai150b.dat,Busqueda GRASP (Puro),769123,649774776,498896643,5
DataSets/tai150b.dat,Busqueda ILS,769123,507771890,498896643,23533538
DataSets/tai150b.dat,Busqueda VNS,423543,508210225,498896643,14918236
DataSets/tai150b.dat,Busqueda Local del Primer Vecino,656343,512367226,498896643,5643033
DataSets/tai150b.dat,Busqueda GRASP (BL),769123,509266778,498896643,24669019
